priority,item_kind,document_id,source_pdf,pdf_path,page_start_1based,page_end_1based,citation,source_id,table_id,section,quality_flags,qa_flags,qa_status,review_reasons,suggested_action,review_task,text_preview,columns_json,rows_preview_json,reviewer,student_decision,review_notes
P0,rag_chunk_qa,A76,A76.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A76.pdf,6,8,A76.pdf:p6-p8,A76_chunk_0032,,Appendix A. Supplementary data,unrecoverable_page_placeholder,unrecoverable_page_placeholder,fail,post_mineru_qa_gate,do_not_curate,确认该页是 fallback placeholder；不要从该页录入证据。,Appendix A. Supplementary data Supplementary data to this article can be found online at https:/ /doi. org/10.1016/j.ijbiomac.2024.131500. References A76 page 8 UNRECOVERABLE PAGE PLACEHOLDER Rendered page was abnormally small.,[],[],,,
P0,rag_chunk_qa,A77,A77.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A77.pdf,10,13,A77.pdf:p10-p13,A77_chunk_0025,,References,unrecoverable_page_placeholder,unrecoverable_page_placeholder,fail,post_mineru_qa_gate,do_not_curate,确认该页是 fallback placeholder；不要从该页录入证据。,A77 page 10 UNRECOVERABLE PAGE PLACEHOLDER Rendered page was abnormally small. A77 page 11 UNRECOVERABLE PAGE PLACEHOLDER Rendered page was abnormally small. A77 page 12 UNRECOVERABLE PAGE PLACEHOLDER Rendered page was abnormally small. A77 page 13 UNRECOVERABLE PAGE PLACEHOLDER Rendered page was abnormally small.,[],[],,,
P0,rag_chunk_qa,A78,A78.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A78.pdf,7,9,A78.pdf:p7-p9,A78_chunk_0029,,Appendix A. Supplementary data,unrecoverable_page_placeholder,unrecoverable_page_placeholder,fail,post_mineru_qa_gate,do_not_curate,确认该页是 fallback placeholder；不要从该页录入证据。,Appendix A. Supplementary data Supplementary data to this article can be found online at https:/ /doi. org/10.1016/j.ijbiomac.2023.127787. References A78 page 9 UNRECOVERABLE PAGE PLACEHOLDER Rendered page was abnormally small.,[],[],,,
P1,rag_chunk_qa,A11,A11.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A11.pdf,2,2,A11.pdf:p2,A11_chunk_0005,,1. Introduction,suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"$\mathrm { U i O } { \cdot } 6 6 { \cdot } \mathrm { N H } _ { 2 }$ (University of Oslo-66-Amino), a metal-organic frame work (MOF), possesses a highly ordered nanoscale pore structure and tunable amino functional groups. It is capable of efficiently loading LIP through physical adsorption or chemical bonding, thereby increasing immobilization efficiency, and thus has become a prominent immobi lization carrier for LIP [10–13]. Chen et al. significantly improved the relative activity of LIP upon immobilization onto $\mathrm { U i O } { - } 6 6 { - } \mathrm { N H } _ { 2 } \ [ 1 4 ]$ . Yan et al. designed the magnetic $\mathrm { U i O } { \cdot } 6 6 { \cdot } \mathrm { N H } _ { 2 }$ to immobilize porcine pancreatic LIP, achieving a 470 % enhancement in high-temperature stability [15]. Ascioglu et al. used covalently modified $\mathrm { U i O } { \cdot } 6 6 { \cdot } \mathrm { N H } ...",[],[],,,
P1,rag_chunk_qa,A24,A24.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A24.pdf,2,2,A24.pdf:p2,A24_chunk_0005,,1. INTRODUCTION,suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"Feng et al. demonstrated that macromolecular enzymes, such as lipases, penetrate the UiO-66 series MOFs through a dynamic defect generation strategy, offering greater value compared to physical encapsulation or covalent binding.21 Ouyang et al. successfully prepared heterogeneous biocatalysts via spatial immobilization techniques, effectively solving the key issues of substrate mass transfer limitations and enzyme conformational changes in traditional enzyme immobilization processes.22 Chen et al. prepared a large number of hydroxylated mesoporous covalent organic frameworks, which can be easily postmodified with epibromohydrin to covalently immobilize lipase through an intramolecular hydrogen bond (IMHB)-activated Michael addition−elimination reaction. This strategy resulted in an immobilized enzyme with high loading capacity $\left( 0 . 5 2 \mathrm { g } { \cdot } \mathrm { g } ^ { ...",[],[],,,
P1,rag_chunk_qa,A3,A3.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A3.pdf,1,1,A3.pdf:p1,A3_chunk_0000,,Zn-WA,suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,Zn-WA 4 71210 AAmano lipaseAANL#AochratoxinAOTA Zn-Zn-metal-organicframeworkZn-MOF—ANL@Zn FOTA82h400r/m XAN@Z-OF ANLZn-MOFANL@Zn-MOFANL ANL@Zn-MOFOTAANL@Zn-MOFANL20ng/mL8h OTAANLOTA66.7%500mLFANL@Zn-MOF 1269.3%OTAANL@Z-MOF5378% ANL@n-MFOTA#MOF :ALEHA,[],[],,,
P1,rag_chunk_qa,A3,A3.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A3.pdf,4,5,A3.pdf:p4-p5,A3_chunk_0014,,2.1ANL@Zn-MOFE,suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,${ \bf { Z } n { - } M O F }$ ANL@Zn-MOFZn-MOFFπANL±30\~700C 2cXZn-MOF 1001603.38% ${ \cal Z } \mathrm { n } { - } \mathrm { M } \mathrm { O F }$ 1892242.15%# MOFn-MOF 380550 38.71%£ANL@Zn-MOF#‡#FMOF +£110180¥ 10.39%[24];ANL@Zn- OF270—#550[25] 120\~550 ANL@Z OFn-MOF EZn-MOFANL380ANL@Zn MOFZn-MOF14.4%-E ANLZn-MOF,[],[],,,
P1,table_record_qa,A39,A39.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A39.pdf,3,3,A39.pdf:p3,A39_p2_t50,A39_p2_t50,3.4. Methodology validation,table_ragged_rows,table_ragged_rows,fail,post_mineru_qa_gate,manual_table_check,核对表格 caption、列名、行列错位和单位；如果可恢复事实，记录在 notes，交给工程侧人工补录。,Columns: | (RSD%) Row 1: : Peak area of pNP; (RSD%): Migration time Row 2: Intra-day (n=5) | 0.25% | 1.98% Row 3: Inter-day (n=3) | 1.51% | 4.21% Row 4: Column-to-column (n=3) | 2.53% | 4.68% Row 5: Batch-to-batch (n=3) | 4.23% | 1.75%,"["""",""(RSD%)""]","[[""Peak area of pNP"",""Migration time""],[""Intra-day (n=5)"",""0.25%"",""1.98%""],[""Inter-day (n=3)"",""1.51%"",""4.21%""],[""Column-to-column (n=3)"",""2.53%"",""4.68%""],[""Batch-to-batch (n=3)"",""4.23%"",""1.75%""]]",,,
P1,rag_chunk_qa,A39,A39.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A39.pdf,3,3,A39.pdf:p3,A39_table_chunk_0000,A39_p2_t50,3.4. Methodology validation,table_ragged_rows,,,,manual_table_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,Repeatability of enzyme activity of the ZIF-8-immobilized enzyme microreactor. Columns: | (RSD%) Row 1: : Peak area of pNP; (RSD%): Migration time Row 2: Intra-day (n=5) | 0.25% | 1.98% Row 3: Inter-day (n=3) | 1.51% | 4.21% Row 4: Column-to-column (n=3) | 2.53% | 4.68% Row 5: Batch-to-batch (n=3) | 4.23% | 1.75%,[],[],,,
P1,rag_chunk_qa,A47,A47.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A47.pdf,1,1,A47.pdf:p1,A47_chunk_0000,,"Interfacial Stabilization through MOF-Polymer Core−Shell Design: Ultraefficient, Stable and Recyclable Enzymatic Microreactors",suspicious_percent_gt_300,,pass,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"Interfacial Stabilization through MOF-Polymer Core−Shell Design: Ultraefficient, Stable and Recyclable Enzymatic Microreactors Chengfu Zhang, Jinxia Hu, Ling Ma, Lichun Zhao,\* Dong Pei,\* and Qingli Qu\* Cite This: ACS Appl. Mater. Interfaces 2025, 17, 40893−40905 Read Online ACCESS Metrics & More ABSTRACT: Enzyme immobilization in metal−organic frameworks (MOFs) faces stability challenges, particularly as exposure to extreme conditions induces structural degradation of the crystalline framework, compromising enzymatic activity. To address this, we developed a novel MOF-poly(acrylic acid) (PAA) hybrid material (MPHM) featuring an “active core-skeleton-shell” architecture. Its hierarchy features a lipase core, a rigid MOF skeleton, and a flexible PAA shell, which synergistically enhances enzyme stability and catalytic efficiency. Lipase@MPHM exhibited a 294% activity increase and 596%...",[],[],,,
P1,rag_chunk_qa,A47,A47.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A47.pdf,1,2,A47.pdf:p1-p2,A47_chunk_0004,,1. INTRODUCTION,suspicious_percent_gt_300,,pass,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"This study proposes a novel “active core-skeleton-shell” configuration (lipase@MPHM) featuring enzyme cores, MOF skeletons, and PAA shells. The MOF skeleton maintains enzyme tertiary structure through coordinated interfacial hydrophobic interactions, while the PAA shell reinforces mechanical stability via electrostatic shielding at the MOFpolymer interface. Dual-interfacial design enables unprecedented enzyme stability against extreme pH (1−14), chemical denaturants (urea/DMSO), and prolonged storage (>11 weeks), outperforming conventional lipase@MOF systems in both catalytic efficiency (596% enhancement) and reusability. The work establishes a generalizable interface engineering paradigm for developing robust biohybrid materials in biocatalysis and beyond. 2. RESULTS AND DISCUSSION",[],[],,,
P1,rag_chunk_qa,A48,A48.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A48.pdf,5,5,A48.pdf:p5,A48_chunk_0020,,2.2. The optimization of immobilization conditions,suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"Based on the above results, the optimized conditions were identified for enzyme immobilization were PEG content of 7.5 mg, GA content of 300 $\mu \mathrm { L } ,$ , enzyme concentration of 12 mg/mL, immobilization time of 10 ${ \mathrm { h } } ,$ and temperature of $3 0 \ { } ^ { \circ } \mathrm { C } ,$ under which the enzyme loading of 29.41 ${ \mathrm { m g } } / { \mathrm { g } } ,$ specific activity of 365.90 U/mg and activity recovery of 527.31% were achieved. It was interesting that specific activity of PS@PEG @m-$\mathrm { U i O _ { N } }$ was 5.27 times higher than that of free Lipase PS and 3.27 times higher than that of PS@m- $\mathbf { \nabla \cdot U i O _ { N } } ,$ indicating a significant activation effect of PEG chains.",[],[],,,
P1,rag_chunk_qa,A59,A59.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A59.pdf,6,6,A59.pdf:p6,A59_chunk_0032,,3.2.1. Optimizing immobilization condition,suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"3.2.1. Optimizing immobilization condition Fig. 4 showed the optimization conditions of the immobilized lipase. The enzymatic activity rose substantially when oleic acid content increased from 0.1 to 0.5 mL, a maximum activity recovery of 345 % was obtained $\left( \mathrm { F i g . ~ } 4 \mathbf { a } \right)$ , and further increasing the content of oleic acid did not lead to further growth of activity. This may be attributed to the high content of oleic acid leading to the carrier being too hydrophobic, but a highly hydrophobic matrix is not always advantageous for lipase activity [41]. As seen in Fig. 4b, the maximum activity recovery of immobilized lipase (510 %) was observed at pH 7.0.",[],[],,,
P1,rag_chunk_qa,A59,A59.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A59.pdf,6,6,A59.pdf:p6,A59_chunk_0033,,3.2.1. Optimizing immobilization condition,suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"Similarly, the concentration of the as-prepared carrier applied in the immobilization lipase was essential for the enzyme activity recovery. As the carrier concentration increased (5–20 mg/L), the enzyme activity recovery reached the maximum of 695 % at 20 mg/L (Fig. 4c). Never theless, when the concentration of the carrier was further increased, the activity recovery of lipase was reduced. Furthermore, the immobilized enzyme showed a high activity recovery of about 780 % when the adsorption time was 1 h. However, with the extension of the adsorption time, the recovery rate showed a downward trend (Fig. 4d). This is because with the increase of the adsorption amount of enzyme carrier surface, the chance of condensation effect between enzyme molecules increases, and it is easy to form a multi-layer coating or wrinkled skirt structure [42]. Its structural form is a steric hindrance, whi...",[],[],,,
P1,rag_chunk_qa,A59,A59.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A59.pdf,6,6,A59.pdf:p6,A59_chunk_0035,,3.2.1. Optimizing immobilization condition,possible_ocr_duplicate_text;suspicious_percent_gt_300,,,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"Besides, the activity recovery of $\Delta \mathrm { O L } / \mathrm { U i O } { - } 6 6 { \mathrm { - } } \mathrm { N H } _ { 2 } \ ( 1 2 0 \ ^ { \circ } \mathrm { C } ) ,$ , AOL/ $\mathrm { U i O - 6 6 \mathrm { - } N H _ { 2 } \mathrm { - } O A ( 1 2 0 ~ ^ { \circ } C ) , A O L / U i O - 6 6 \mathrm { - } N H _ { 2 } \mathrm { - } O A ( 4 0 ~ ^ { \circ } C ) }$ and $_ { \mathrm { A O L / U i O - } }$ $6 6 { \cdot } \mathrm { N H _ { 2 } } ~ ( 4 0 ~ ^ { \circ } \mathrm { C } )$ were 46.8 %, 803.16 %, 285.15 % and 62.36 %, respectively (Fig. 5a). Compared with $\mathrm { A O L / U i O { - } 6 6 { - } N H _ { 2 } } ,$ the activity recovery of $\mathrm { A O L / \ U i O – 6 6 – N H _ { 2 } { \cdot } O A }$ was significantly increased, indi cating that the carrier synthesized in oleic acid/water two-phase system can improve the activity of lipase.",[],[],,,
P1,rag_chunk_qa,A66,A66.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A66.pdf,4,4,A66.pdf:p4,A66_chunk_0016,,"3.2.1.2. Reaction solution pH. The pH of the reaction solution is an important factor affecting the catalytic activity of the lipase, which is often reduced by altering the charge balance of the lipase active site [17]. According to Fig. $^ { 6 , }$ in the pH range of 6 to 8, the relative activity reaches its maximum at pH 7, which generates a large decrease in the relative activity with either increasing or decreasing pH. An overly acidic or alkaline environment can affect the spatial conformation of the lipase molecule or even inactivate it. At the same time, the $\mathrm { U i O } { \cdot } 6 6 { \cdot } \mathrm { N H } _ { 2 }$ carrier itself is acidic, which makes it difficult to maintain the activity of the lipase molecules when they are bound to the carrier matrix by the impact of Lewis acid sites. Therefore, the immobilized lipase exhibited the highest activity at reaction solution of $^ { \cdot } { } _ { 7 , \cdot }$ which has been reported to confirm this. Kuang et al. [10] showed that Aspergillus oryzae lipase immobilized on $\mathrm { U i O - } 6 6 { \mathrm { - } } \mathrm { N H _ { 2 } { \mathrm { - } } O A }$ substrate showed the maximum recovery of lipase activity (510%) at pH 7.0. Saadiah et al. [18] tested ROL at different pH conditions Specific lipase activity and activity recovery of ROL immobilized on hybridized dobby carbon nanotubes, it was observed that both activity recovery and specific lipase activity were maximum at pH 7.0.",suspicious_percent_gt_300,,pass,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"3.2.1.2. Reaction solution pH. The pH of the reaction solution is an important factor affecting the catalytic activity of the lipase, which is often reduced by altering the charge balance of the lipase active site [17]. According to Fig. $^ { 6 , }$ in the pH range of 6 to 8, the relative activity reaches its maximum at pH 7, which generates a large decrease in the relative activity with either increasing or decreasing pH. An overly acidic or alkaline environment can affect the spatial conformation of the lipase molecule or even inactivate it. At the same time, the $\mathrm { U i O } { \cdot } 6 6 { \cdot } \mathrm { N H } _ { 2 }$ carrier itself is acidic, which makes it difficult to maintain the activity of the lipase molecules when they are bound to the carrier matrix by the impact of Lewis acid sites. Therefore, the immobilized lipase exhibited the highest activity at reaction sol...",[],[],,,
P1,rag_chunk_qa,A68,A68.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A68.pdf,6,6,A68.pdf:p6,A68_chunk_0021,,3.4.5. Effect of different organic solvents and detergents,suspicious_percent_gt_300,,pass,,manual_source_check,核对 chunk 是否为 OCR 重复、异常百分比或引用错误；仅作为定位来源，不直接入库。,"3.4.5. Effect of different organic solvents and detergents Organic solvent tolerant lipase has numerous applications in synthetic biotechnology to produce high-value compounds, especially biodiesel synthesis. In the current research, the lipase activity of free and immobilized lipases was done against some polar and hydrophobic organic solvents. Table 2 showed that the activity of free lipase decreased by about 416% in organic solvents. Although, the lipase activity of immobilized enzyme slightly improved in the presence of some hydrophobic organic solvents (chloroform (5%), and n-hexane (7%)) and in some polar organic solvents (ethanol (8%), and methanol (6%)). Furthermore, the activity of both free and immobilized lipases in the presence of DMF has been decreased by about 7 and 5%, respectively. Previously reported that the activity behavior of enzymes in polar and hydrophobic organ...",[],[],,,
P1,table_record_qa,A68,A68.pdf,/Users/way/Desktop/99-生机大模型/MOF固定化脂肪酶文献调研/A68.pdf,7,7,A68.pdf:p7,A68_p6_t91,A68_p6_t91,3.4.5. Effect of different organic solvents and detergents,table_ragged_rows,table_ragged_rows,fail,post_mineru_qa_gate,manual_table_check,核对表格 caption、列名、行列错位和单位；如果可恢复事实，记录在 notes，交给工程侧人工补录。,Columns: | Concentration (mM) | Relative activity (%) Row 1: Immobilized E | Free E Row 2: Control | − | 100 | 100 Row 3: $Z \mathrm { n } ^ { 2 + }$ | 0.5 | $9 7 \pm 0 . 1$ | $9 8 \pm 0 . 4$ Row 4: ${ \mathrm { C u } } ^ { 2 + }$ | 0.5 | $1 2 6 \pm 0 . 3$ | $1 0 4 \pm 0 . 3$ Row 5: $\mathsf { C a ^ { 2 + } }$ | 0.5 | $1 0 2 \pm 0 . 3$ | $8 9 \pm 0 . 4$ Row 6: $\mathrm { F e ^ { 2 + } }$ | 0.5 | $9 6 \pm 0 . 2$ | $9 5 \pm 0 . 2 $ Row 7: ${ \mathsf { C o } } ^ { 2 + }$ | 0.5 | $1 2 4 \pm 0 . 4$ | $8 7 \pm 0 . 2 $ Row 8: $\mathrm { H g } ^ { 2 + }$ | 0.5 | $1 1 6 \pm 0 . 1$ | $1 0 5 \pm 0 . 3$ Row 9: $\scriptstyle \mathbf { M } \mathbf { \tilde { n } } ^ { 2 + }$ | 0.5 | $1 1 2 \pm 0 . 1$ | $9 5 \pm 0 . 1$ Row 10: $\mathrm { M g } ^ { 2 + }$ | 0.5 | $1 0 9 \pm 0 . 4$ | $9 7 \pm 0 . 1 $ Row 11: $\mathrm { K } ^ { + }$ | 5 | $1 0 5 \pm 0 . 2$ | $1 0 6 \pm 0 . 2$ Row 12: $\mathrm { N a ^ {...,"["""",""Concentration (mM)"",""Relative activity (%)""]","[[""Immobilized E"",""Free E""],[""Control"",""−"",""100"",""100""],[""$Z \\mathrm { n } ^ { 2 + }$"",""0.5"",""$9 7 \\pm 0 . 1$"",""$9 8 \\pm 0 . 4$""],[""${ \\mathrm { C u } } ^ { 2 + }$"",""0.5"",""$1 2 6 \\pm 0 . 3$"",""$1 0 4 \\pm 0 . 3$""],[""$\\mathsf { C a ^ { 2 + } }$"",""0.5"",""$1 0 2 \\pm 0 . 3$"",""$8 9 \\pm 0 . 4$""]]",,,
